instance_id,n,algorithm,runtime_mean_s,runtime_std_s,best_cost_min_m,cutoff_rate
tsp_G01,8,backtracking,0.12411174000590108,0.00956842241388798,1341.6373536537074,0.0
tsp_G01,8,branch_and_bound,0.03812535000324715,0.005670299312803691,1341.6373536537074,0.0
tsp_G01,10,backtracking,2.2800033199979226,0.23799773512697212,1509.3488436885632,0.0
tsp_G01,10,branch_and_bound,0.45732084999908695,0.07780278133291607,1509.3488436885632,0.0
tsp_G01,12,branch_and_bound,0.8926679799973499,0.10152382153843362,1579.6109522836082,0.0
tsp_G01,15,branch_and_bound,12.729638070001965,1.190482576851966,1609.7135410172866,0.0
tsp_G02,8,backtracking,0.16452797999372706,0.013124334013211452,1201.081943143828,0.0
tsp_G02,8,branch_and_bound,0.040240250001079406,0.005526732590592912,1201.081943143828,0.0
tsp_G02,10,backtracking,1.3294621499982895,0.09965722126457643,1281.7951960302098,0.0
tsp_G02,10,branch_and_bound,0.1796350100048585,0.02678727379747946,1281.7951960302098,0.0
tsp_G02,12,branch_and_bound,1.4331653200060828,0.06473013122927519,1338.8514198658254,0.0
tsp_G02,15,branch_and_bound,11.743514069999218,0.7215256306792868,1609.7135410172868,0.0
tsp_G03,8,backtracking,0.16784165999561082,0.014448800209600498,1321.3469042042818,0.0
tsp_G03,8,branch_and_bound,0.04513855000259355,0.006486567360407184,1321.3469042042818,0.0
tsp_G03,10,backtracking,1.9357397300045704,0.144373706528903,1493.7159702564168,0.0
tsp_G03,10,branch_and_bound,0.31160618999856526,0.01568136887852961,1493.7159702564168,0.0
tsp_G03,12,branch_and_bound,2.6502901500061853,0.14902869058306695,1565.5362810439804,0.0
tsp_G03,15,branch_and_bound,13.132819849997759,0.18265406249925797,1609.7135410172866,0.0
tsp_G04,8,backtracking,0.10272313999885227,0.0023147520361400807,1481.6509168132552,0.0
tsp_G04,8,branch_and_bound,0.037816960003692654,0.004880717135035986,1481.6509168132552,0.0
tsp_G04,10,backtracking,2.1643049200007227,0.038635813037057445,1538.2734455743107,0.0
tsp_G04,10,branch_and_bound,0.3192507300002035,0.004259941163386539,1538.2734455743107,0.0
tsp_G04,12,branch_and_bound,3.3462647000007566,0.15206826242997373,1548.293928679299,0.0
tsp_G04,15,branch_and_bound,14.07448889001098,1.997969936499725,1609.7135410172866,0.0
tsp_G05,8,backtracking,0.16143800999852828,0.015164837115650661,1348.2207317342184,0.0
tsp_G05,8,branch_and_bound,0.016780099997413346,0.0031714803812220634,1348.2207317342184,0.0
tsp_G05,10,backtracking,2.027030439997907,0.0746628550088146,1506.523865537778,0.0
tsp_G05,10,branch_and_bound,0.25889896000444423,0.014897235226028894,1506.523865537778,0.0
tsp_G05,12,branch_and_bound,1.0741558099980466,0.09741721039391421,1564.2403539335692,0.0
tsp_G05,15,branch_and_bound,38.37517492000188,87.63463684221685,1609.7135410172864,0.1
tsp_dummy,8,backtracking,0.20141892000101508,0.014918632353071578,1374.0275114125634,0.0
tsp_dummy,8,branch_and_bound,0.0670903599995654,0.010189745190951359,1374.0275114125634,0.0
