id,nama_tempat,latitude,longitude
1,Fakultas Ilmu Sosial dan Ilmu Politik UNS,-7.5569475,110.8528059
2,Fakultas Hukum UNS, -7.5571941,110.8542467
3,Gedung 1 Fakultas Ekonomi dan Bisnis UNS , -7.5580278,110.8541614
4,Fakultas Seni Rupa dan Desain UNS,-7.5594714,110.8543174
5,UPT Bahasa UNS,-7.5597788,110.8543606
6,Fakultas Ilmu Budaya UNS, -7.5590523,110.8551998
7,Gedung 2 Fakultas Teknik UNS,-7.5603620,110.8540140
8,Gedung 3 Fakultas Teknik UNS, -7.5613265,110.8535971
9,Aula Fakultas Ekonomi dan Bisnis UNS,-7.5588144,110.8547883
10,KPRI UNS, -7.5603458,110.8549539
11,Gedung 5 Fakultas Teknik UNS, -7.5606037,110.8544032
12,Gedung 4 Fakultas Teknik UNS,-7.5618975, 110.8535897
13,Lapangan Basket FT UNS,-7.5616118, 110.8546047
14,Gedung 1 Fakultas Teknik UNS,-7.5620232, 110.8544086
15,Gedung 2 Fakultas Hukum UNS,-7.5575410, 110.8553573
